epoch,train_loss,val_psnr,lr,seconds
1,0.050584,26.3511,2.000e-04,179.6
2,0.043047,26.7533,1.998e-04,186.2
3,0.041661,27.1456,1.996e-04,214.3
4,0.040145,27.5146,1.994e-04,227.5
5,0.039488,27.5040,1.990e-04,222.0
6,0.039200,27.5387,1.986e-04,200.0
7,0.038456,27.2586,1.980e-04,179.8
8,0.038165,27.8110,1.974e-04,177.7
9,0.038038,27.8371,1.967e-04,179.3
10,0.037601,27.8998,1.960e-04,176.5
11,0.037620,27.7999,1.952e-04,174.5
12,0.037495,27.9494,1.942e-04,178.8
13,0.037284,27.9160,1.933e-04,180.9
14,0.037618,27.9241,1.922e-04,178.1
15,0.037161,28.0035,1.911e-04,176.9
16,0.037231,28.0500,1.898e-04,174.5
17,0.036824,28.0842,1.886e-04,172.0
18,0.036997,28.0141,1.872e-04,172.4
19,0.036671,28.1056,1.858e-04,171.9
20,0.036827,28.1258,1.843e-04,172.4
