epoch,train_loss,val_psnr,lr,seconds
1,0.037154,28.2732,4.970e-05,171.7
2,0.036476,28.3112,4.879e-05,175.6
3,0.035549,28.3057,4.730e-05,169.9
4,0.036033,28.3144,4.527e-05,173.8
5,0.035318,28.2913,4.275e-05,174.3
6,0.035324,28.2946,3.980e-05,176.2
7,0.035821,28.3021,3.649e-05,177.3
8,0.035811,28.2677,3.290e-05,177.2
9,0.035488,28.2564,2.912e-05,178.3
10,0.035316,28.2501,2.525e-05,180.2
11,0.035469,28.3029,2.138e-05,180.1
12,0.035494,28.2869,1.760e-05,178.3
13,0.036021,28.2787,1.401e-05,177.0
14,0.035658,28.2922,1.070e-05,177.2
15,0.034965,28.2926,7.749e-06,177.5
16,0.034850,28.2847,5.227e-06,4714.3
