epoch,train_loss,val_psnr,lr,seconds
1,0.058656,28.5235,4.980e-05,498.8
2,0.057572,28.5293,4.922e-05,506.3
3,0.057265,28.5542,4.826e-05,499.6
4,0.057092,28.4670,4.694e-05,492.5
5,0.057198,28.5543,4.527e-05,488.1
6,0.056620,28.4888,4.329e-05,572.8
7,0.057125,28.6762,4.103e-05,547.6
8,0.056489,28.6023,3.851e-05,503.9
9,0.056321,28.6379,3.579e-05,493.8
10,0.056009,28.6116,3.290e-05,492.0
11,0.056308,28.5495,2.989e-05,486.3
12,0.056317,28.5359,2.680e-05,491.8
13,0.056003,28.5819,2.370e-05,492.8
14,0.055907,28.5272,2.061e-05,489.2
15,0.055458,28.6275,1.760e-05,489.8
16,0.055678,28.6218,1.471e-05,487.2
17,0.055572,28.6562,1.199e-05,488.2
18,0.055481,28.6180,9.474e-06,489.0
19,0.055154,28.6613,7.208e-06,488.4
20,0.055282,28.5719,5.227e-06,491.7
21,0.055300,28.6557,3.561e-06,494.1
22,0.054914,28.6630,2.238e-06,490.2
23,0.055145,28.6431,1.278e-06,488.3
24,0.055172,28.6270,6.952e-07,486.0
25,0.054916,28.6371,5.000e-07,491.5
