epoch,train_loss,val_psnr,lr,seconds
1,0.048917,26.6313,2.000e-04,164.2
2,0.041949,26.8311,1.999e-04,149.5
3,0.041703,27.4888,1.998e-04,149.7
4,0.039335,27.6549,1.996e-04,149.4
5,0.038702,27.7671,1.994e-04,149.4
6,0.038446,27.7951,1.992e-04,149.3
7,0.038083,27.8231,1.989e-04,149.3
8,0.038018,27.8969,1.986e-04,149.6
9,0.037734,27.9687,1.982e-04,149.5
10,0.037434,27.8863,1.977e-04,149.5
11,0.037407,27.9970,1.973e-04,149.6
12,0.036819,28.1062,1.968e-04,149.9
13,0.036601,28.0753,1.962e-04,149.6
14,0.036578,28.1089,1.956e-04,149.5
15,0.036533,28.1814,1.950e-04,149.7
16,0.036493,28.1245,1.943e-04,149.8
17,0.036673,28.1036,1.935e-04,149.7
18,0.036311,28.0880,1.928e-04,149.7
19,0.036176,28.1738,1.919e-04,149.5
20,0.036256,28.1419,1.911e-04,149.4
21,0.036078,28.1508,1.902e-04,149.4
22,0.036178,28.2973,1.893e-04,149.6
23,0.035660,28.1429,1.883e-04,149.5
24,0.035670,28.2332,1.873e-04,149.5
25,0.035961,28.2687,1.862e-04,149.5
26,0.035856,28.2446,1.851e-04,149.4
27,0.035908,28.2311,1.840e-04,149.5
28,0.035893,28.3308,1.828e-04,149.5
29,0.035828,28.3507,1.816e-04,149.4
30,0.035522,28.2931,1.803e-04,149.4
31,0.035741,28.3223,1.791e-04,149.3
32,0.035739,28.3468,1.777e-04,149.3
33,0.035240,28.3044,1.764e-04,149.3
34,0.035308,28.2034,1.750e-04,149.4
35,0.035346,28.3369,1.736e-04,149.4
36,0.035494,28.4165,1.721e-04,149.3
37,0.035096,28.4169,1.706e-04,149.3
38,0.035229,28.3974,1.691e-04,149.3
39,0.035283,28.3906,1.676e-04,149.3
40,0.035314,28.4095,1.660e-04,149.4
41,0.035332,28.4301,1.644e-04,149.3
42,0.034955,28.4434,1.627e-04,149.4
43,0.035114,28.3895,1.611e-04,149.5
44,0.035506,28.4320,1.594e-04,149.5
45,0.035284,28.4579,1.576e-04,149.5
46,0.034824,28.4731,1.559e-04,149.6
47,0.035058,28.4789,1.541e-04,149.5
48,0.034921,28.5266,1.523e-04,149.5
49,0.035084,28.5197,1.505e-04,149.5
50,0.035087,28.4159,1.487e-04,149.4
51,0.034940,28.5150,1.468e-04,149.4
52,0.034726,28.4880,1.449e-04,149.4
53,0.034762,28.5660,1.430e-04,149.4
54,0.034863,28.5592,1.411e-04,149.4
55,0.034614,28.5602,1.391e-04,149.4
56,0.034674,28.5205,1.372e-04,149.4
57,0.034518,28.6185,1.352e-04,149.5
58,0.034583,28.6147,1.332e-04,149.4
59,0.034489,28.6186,1.312e-04,149.3
60,0.034578,28.6490,1.292e-04,149.3
61,0.034491,28.6758,1.271e-04,149.3
62,0.034678,28.6977,1.251e-04,149.3
63,0.034352,28.6801,1.230e-04,149.3
64,0.034474,28.6682,1.210e-04,149.4
65,0.034624,28.6974,1.189e-04,149.4
66,0.034502,28.6688,1.168e-04,149.4
67,0.034495,28.6587,1.147e-04,149.4
68,0.034516,28.6926,1.126e-04,149.4
69,0.034336,28.6250,1.105e-04,149.6
70,0.034348,28.7875,1.084e-04,149.4
71,0.034481,28.6848,1.063e-04,149.4
72,0.034424,28.7450,1.042e-04,149.4
73,0.034271,28.7924,1.021e-04,149.4
74,0.034275,28.7973,9.994e-05,149.4
75,0.034298,28.8217,9.783e-05,149.4
76,0.034445,28.7696,9.571e-05,149.4
77,0.034242,28.8532,9.360e-05,149.5
78,0.034133,28.8409,9.149e-05,149.5
79,0.034213,28.8418,8.939e-05,149.4
80,0.034228,28.8260,8.729e-05,149.5
81,0.034331,28.7717,8.520e-05,149.4
82,0.034377,28.8340,8.311e-05,149.4
83,0.034215,28.8585,8.104e-05,149.5
84,0.034243,28.7824,7.897e-05,149.4
85,0.034004,28.8732,7.691e-05,149.4
86,0.034043,28.8391,7.487e-05,149.5
87,0.033934,28.9071,7.283e-05,149.4
88,0.034099,28.8892,7.081e-05,149.5
89,0.034104,28.8611,6.880e-05,149.5
90,0.034021,28.8828,6.681e-05,149.5
91,0.034090,28.8953,6.483e-05,149.5
92,0.034218,28.8994,6.287e-05,149.5
93,0.033980,28.8742,6.093e-05,149.6
94,0.034119,28.9175,5.900e-05,149.6
95,0.034116,28.9218,5.709e-05,149.6
96,0.033786,28.9300,5.521e-05,149.6
97,0.033889,28.9024,5.334e-05,149.6
98,0.033667,28.9205,5.150e-05,149.5
99,0.033969,28.8813,4.968e-05,149.6
100,0.033815,28.9408,4.788e-05,149.6
101,0.033780,28.9313,4.611e-05,149.6
102,0.033742,28.9383,4.436e-05,149.7
103,0.033703,28.9317,4.264e-05,149.6
104,0.033852,28.9439,4.094e-05,149.6
105,0.033962,28.9439,3.927e-05,149.6
106,0.033811,28.9198,3.763e-05,149.6
107,0.033597,28.8938,3.602e-05,149.6
108,0.033747,28.9589,3.444e-05,149.6
109,0.033901,28.9515,3.289e-05,149.7
110,0.033644,28.9793,3.137e-05,149.6
111,0.033549,28.9647,2.988e-05,149.7
112,0.033944,28.9619,2.843e-05,149.7
113,0.033751,28.9542,2.701e-05,149.6
114,0.033819,28.9554,2.562e-05,149.6
115,0.033591,28.9845,2.426e-05,149.7
116,0.033732,28.9992,2.294e-05,149.6
117,0.033779,28.9684,2.166e-05,149.7
118,0.033837,28.9746,2.041e-05,150.0
119,0.033653,28.9904,1.920e-05,149.7
120,0.033885,28.9929,1.803e-05,149.8
121,0.033571,29.0128,1.689e-05,149.7
122,0.033621,29.0045,1.580e-05,149.7
123,0.033541,29.0016,1.474e-05,149.7
124,0.033647,29.0095,1.372e-05,149.8
125,0.033572,29.0053,1.274e-05,149.8
126,0.033681,29.0031,1.180e-05,149.8
127,0.033427,28.9849,1.091e-05,149.8
128,0.033727,29.0064,1.005e-05,149.8
129,0.033594,29.0107,9.235e-06,149.8
130,0.033350,28.9961,8.462e-06,149.9
131,0.033612,28.9976,7.732e-06,149.9
132,0.033784,29.0105,7.043e-06,150.0
133,0.033281,29.0007,6.398e-06,149.9
134,0.033760,29.0014,5.796e-06,149.8
135,0.033493,29.0054,5.238e-06,149.8
136,0.033522,29.0080,4.723e-06,149.6
137,0.033584,29.0093,4.252e-06,149.7
138,0.033916,29.0132,3.826e-06,149.7
139,0.033528,29.0158,3.443e-06,149.7
140,0.033457,29.0081,3.106e-06,149.7
141,0.033969,29.0123,2.813e-06,149.7
142,0.033800,29.0148,2.565e-06,149.9
143,0.033630,29.0103,2.362e-06,149.8
144,0.033870,29.0104,2.203e-06,149.8
145,0.033787,29.0077,2.090e-06,149.7
146,0.033419,29.0128,2.023e-06,149.7
147,0.033634,29.0147,2.000e-06,149.8
