epoch,train_loss,val_psnr,lr,seconds
1,0.059899,28.4680,9.985e-05,632.8
2,0.058620,28.4227,9.939e-05,551.7
3,0.058349,28.3091,9.863e-05,524.0
4,0.058594,28.4790,9.758e-05,481.9
5,0.057846,28.3904,9.623e-05,477.6
6,0.057688,28.3452,9.460e-05,491.6
7,0.057721,28.3745,9.271e-05,472.8
8,0.057904,28.4505,9.055e-05,502.2
9,0.057186,28.4420,8.814e-05,571.9
10,0.057695,28.5999,8.550e-05,550.4
11,0.057046,28.5822,8.265e-05,496.6
12,0.056897,28.6000,7.960e-05,494.0
13,0.056551,28.4955,7.636e-05,504.2
14,0.056819,28.5063,7.297e-05,498.5
15,0.056830,28.5380,6.944e-05,496.1
16,0.056543,28.4353,6.580e-05,497.3
17,0.056384,28.4801,6.206e-05,496.0
18,0.056027,28.6842,5.824e-05,497.0
19,0.056260,28.5717,5.438e-05,497.7
20,0.056055,28.5669,5.050e-05,498.1
21,0.055882,28.6516,4.662e-05,505.7
22,0.055650,28.6570,4.276e-05,498.4
23,0.055630,28.5222,3.894e-05,498.8
24,0.055603,28.6304,3.520e-05,498.8
25,0.055155,28.6510,3.156e-05,500.8
26,0.055318,28.6085,2.803e-05,501.4
27,0.055287,28.7044,2.464e-05,500.6
28,0.054956,28.6673,2.140e-05,507.2
29,0.054809,28.5522,1.835e-05,502.6
30,0.054757,28.5744,1.550e-05,4376.2
31,0.054621,28.6501,1.286e-05,485.8
32,0.054740,28.6302,1.045e-05,521.2
33,0.054828,28.6080,8.294e-06,514.0
34,0.054307,28.6347,6.395e-06,514.1
35,0.054355,28.6466,4.768e-06,509.4
36,0.054215,28.6310,3.423e-06,495.2
37,0.054302,28.6814,2.368e-06,497.0
38,0.054317,28.6609,1.609e-06,502.1
39,0.054709,28.6607,1.153e-06,510.2
40,0.054240,28.6519,1.000e-06,505.0
