epoch,train_loss,val_psnr,lr,seconds
1,0.060902,28.1135,4.980e-05,246.3
2,0.060008,28.1819,4.922e-05,217.9
3,0.059969,28.2181,4.826e-05,199.1
4,0.059557,28.2286,4.694e-05,193.3
5,0.059358,28.2403,4.527e-05,189.3
6,0.059186,28.2654,4.329e-05,193.0
7,0.059899,28.1926,4.103e-05,188.1
8,0.059182,28.1478,3.851e-05,200.5
9,0.059184,28.1025,3.579e-05,202.0
10,0.058944,28.1180,3.290e-05,190.8
11,0.059111,28.1777,2.989e-05,188.6
12,0.058676,28.1468,2.680e-05,212.0
13,0.058867,28.1543,2.370e-05,227.6
14,0.058641,28.1583,2.061e-05,190.3
15,0.058302,28.1813,1.760e-05,185.7
16,0.058400,28.1495,1.471e-05,185.1
17,0.058702,28.1894,1.199e-05,187.6
18,0.058285,28.1841,9.474e-06,194.3
19,0.058335,28.1875,7.208e-06,197.2
20,0.058285,28.1755,5.227e-06,212.2
21,0.058612,28.1893,3.561e-06,207.1
22,0.058099,28.2363,2.238e-06,204.6
23,0.058604,28.1975,1.278e-06,198.5
24,0.058488,28.2089,6.952e-07,202.3
25,0.058213,28.2181,5.000e-07,210.0
