epoch,train_loss,val_psnr,lr,seconds
1,0.359584,10.8873,5.000e-05,10.4
2,0.321345,12.0649,4.999e-05,1.0
3,0.284406,13.4015,4.999e-05,1.0
4,0.248206,14.9215,4.998e-05,1.0
5,0.211844,16.6516,4.997e-05,1.0
6,0.178164,18.5381,4.995e-05,1.0
7,0.143376,20.3495,4.993e-05,1.0
8,0.113287,21.6088,4.991e-05,1.0
9,0.098107,21.9195,4.989e-05,1.0
10,0.097053,22.3574,4.986e-05,1.0
11,0.092399,23.5870,4.984e-05,1.0
12,0.076315,24.8345,4.980e-05,1.0
13,0.066594,25.0417,4.977e-05,1.0
14,0.066194,24.5964,4.973e-05,1.0
15,0.067838,24.6337,4.970e-05,1.0
16,0.064935,25.1162,4.965e-05,1.0
17,0.061075,25.4359,4.961e-05,1.1
18,0.060842,25.5941,4.956e-05,1.1
19,0.060167,25.7653,4.951e-05,1.0
20,0.057597,25.9270,4.946e-05,1.0
21,0.054152,25.9136,4.940e-05,1.0
22,0.053928,25.9412,4.935e-05,1.0
23,0.053501,26.1612,4.929e-05,1.0
24,0.050965,26.2771,4.922e-05,1.0
25,0.050671,26.3048,4.916e-05,1.0
26,0.050241,26.4170,4.909e-05,1.2
27,0.048824,26.4676,4.902e-05,1.0
28,0.048471,26.5201,4.894e-05,1.0
29,0.047728,26.6237,4.887e-05,1.0
30,0.047037,26.6666,4.879e-05,2.9
31,0.046707,26.7097,4.871e-05,1.0
32,0.046043,26.7355,4.862e-05,1.0
33,0.045781,26.8043,4.854e-05,1.0
34,0.045146,26.8603,4.845e-05,1.0
35,0.044830,26.9063,4.836e-05,1.0
36,0.044386,26.9414,4.826e-05,1.0
37,0.044085,26.9734,4.817e-05,1.0
38,0.043734,27.0199,4.807e-05,1.6
39,0.043414,27.0610,4.796e-05,1.2
40,0.043059,27.0898,4.786e-05,1.0
41,0.042747,27.1177,4.775e-05,1.0
42,0.042480,27.1473,4.764e-05,1.0
43,0.042256,27.1684,4.753e-05,1.0
44,0.042030,27.1978,4.742e-05,1.0
45,0.041801,27.2300,4.730e-05,1.0
46,0.041543,27.2553,4.718e-05,1.0
47,0.041349,27.2848,4.706e-05,1.0
48,0.041139,27.3037,4.694e-05,1.0
49,0.040948,27.3335,4.681e-05,1.3
50,0.040757,27.3586,4.668e-05,1.3
51,0.040584,27.3830,4.655e-05,1.0
52,0.040421,27.4109,4.642e-05,1.0
53,0.040263,27.4303,4.628e-05,1.0
54,0.040109,27.4580,4.615e-05,1.0
55,0.039961,27.4772,4.601e-05,1.0
56,0.039816,27.4980,4.586e-05,1.0
57,0.039679,27.5185,4.572e-05,1.0
58,0.039545,27.5385,4.557e-05,1.5
59,0.039417,27.5610,4.542e-05,1.3
60,0.039293,27.5816,4.527e-05,1.0
61,0.039173,27.6056,4.512e-05,1.0
62,0.039054,27.6252,4.496e-05,1.0
63,0.038943,27.6484,4.481e-05,1.0
64,0.038833,27.6670,4.465e-05,1.0
65,0.038727,27.6876,4.448e-05,1.1
66,0.038623,27.7077,4.432e-05,1.1
67,0.038514,27.7269,4.415e-05,1.8
68,0.038409,27.7488,4.399e-05,1.2
69,0.038314,27.7682,4.382e-05,1.0
70,0.038208,27.7913,4.364e-05,1.0
71,0.038108,27.8092,4.347e-05,1.0
72,0.038010,27.8318,4.329e-05,1.0
73,0.037912,27.8507,4.311e-05,1.0
74,0.037815,27.8728,4.293e-05,1.0
75,0.037723,27.8920,4.275e-05,2.0
76,0.037629,27.9134,4.257e-05,1.2
77,0.037538,27.9324,4.238e-05,1.0
78,0.037446,27.9539,4.219e-05,1.0
79,0.037356,27.9737,4.200e-05,1.0
80,0.037262,27.9945,4.181e-05,1.0
81,0.037169,28.0157,4.162e-05,1.0
82,0.037075,28.0367,4.142e-05,1.0
83,0.036978,28.0576,4.123e-05,3.2
84,0.036885,28.0793,4.103e-05,1.3
85,0.036795,28.1003,4.083e-05,1.1
86,0.036708,28.1215,4.062e-05,1.0
87,0.036615,28.1427,4.042e-05,1.0
88,0.036528,28.1640,4.021e-05,1.0
89,0.036440,28.1825,4.001e-05,1.0
90,0.036354,28.2028,3.980e-05,1.0
91,0.036271,28.2207,3.959e-05,1.0
92,0.036184,28.2416,3.938e-05,3.8
93,0.036100,28.2621,3.916e-05,1.0
94,0.036017,28.2821,3.895e-05,1.1
95,0.035935,28.3034,3.873e-05,1.0
96,0.035855,28.3223,3.851e-05,1.0
97,0.035771,28.3420,3.829e-05,1.0
98,0.035692,28.3608,3.807e-05,1.0
99,0.035613,28.3805,3.785e-05,1.0
100,0.035536,28.3991,3.762e-05,1.0
101,0.035461,28.4201,3.740e-05,1.0
102,0.035382,28.4379,3.717e-05,1.0
103,0.035307,28.4599,3.695e-05,1.3
104,0.035232,28.4774,3.672e-05,1.2
105,0.035160,28.4995,3.649e-05,1.0
106,0.035083,28.5167,3.625e-05,1.0
107,0.035008,28.5391,3.602e-05,1.0
108,0.034936,28.5571,3.579e-05,1.1
109,0.034877,28.5781,3.555e-05,1.0
110,0.034789,28.5977,3.532e-05,1.0
111,0.034714,28.6184,3.508e-05,2.6
112,0.034644,28.6370,3.484e-05,1.2
113,0.034570,28.6571,3.460e-05,1.0
114,0.034499,28.6758,3.436e-05,1.0
115,0.034426,28.6949,3.412e-05,1.0
116,0.034356,28.7153,3.388e-05,1.0
117,0.034284,28.7324,3.363e-05,1.0
118,0.034216,28.7530,3.339e-05,1.0
119,0.034146,28.7699,3.314e-05,1.4
120,0.034076,28.7898,3.290e-05,1.2
121,0.034006,28.8075,3.265e-05,1.0
122,0.033937,28.8265,3.240e-05,1.0
123,0.033871,28.8454,3.216e-05,1.0
124,0.033800,28.8642,3.191e-05,1.0
125,0.033732,28.8830,3.166e-05,1.0
126,0.033664,28.9010,3.141e-05,1.0
127,0.033596,28.9197,3.115e-05,1.0
128,0.033530,28.9381,3.090e-05,1.4
129,0.033461,28.9565,3.065e-05,1.2
130,0.033391,28.9743,3.040e-05,1.1
131,0.033322,28.9936,3.014e-05,1.1
132,0.033252,29.0108,2.989e-05,1.0
133,0.033189,29.0300,2.963e-05,1.0
134,0.033118,29.0460,2.938e-05,1.3
135,0.033046,29.0647,2.912e-05,1.2
136,0.032975,29.0821,2.887e-05,1.0
137,0.032906,29.0988,2.861e-05,1.0
138,0.032835,29.1183,2.835e-05,1.0
139,0.032767,29.1338,2.809e-05,3.1
140,0.032691,29.1522,2.784e-05,1.2
141,0.032618,29.1682,2.758e-05,1.0
142,0.032548,29.1864,2.732e-05,1.0
143,0.032476,29.2011,2.706e-05,1.1
144,0.032405,29.2207,2.680e-05,1.0
145,0.032337,29.2354,2.655e-05,1.0
146,0.032261,29.2536,2.629e-05,1.0
147,0.032194,29.2686,2.603e-05,1.3
148,0.032124,29.2860,2.577e-05,1.2
149,0.032056,29.2999,2.551e-05,1.0
150,0.031987,29.3175,2.525e-05,1.0
151,0.031921,29.3321,2.499e-05,1.1
152,0.031853,29.3490,2.473e-05,1.0
153,0.031784,29.3644,2.447e-05,1.2
154,0.031714,29.3809,2.421e-05,1.4
155,0.031645,29.3961,2.395e-05,1.0
156,0.031577,29.4122,2.370e-05,1.0
157,0.031509,29.4275,2.344e-05,1.0
158,0.031441,29.4427,2.318e-05,1.0
159,0.031378,29.4574,2.292e-05,1.0
160,0.031310,29.4724,2.266e-05,1.0
161,0.031247,29.4863,2.241e-05,1.3
162,0.031192,29.5005,2.215e-05,1.3
163,0.031127,29.5134,2.189e-05,1.0
164,0.031071,29.5252,2.163e-05,1.0
165,0.031013,29.5367,2.138e-05,1.0
166,0.030958,29.5483,2.112e-05,1.0
167,0.030907,29.5596,2.087e-05,1.3
168,0.030854,29.5712,2.061e-05,1.3
169,0.030808,29.5820,2.036e-05,1.0
170,0.030754,29.5928,2.010e-05,1.0
171,0.030706,29.6036,1.985e-05,1.0
172,0.030658,29.6141,1.960e-05,1.0
173,0.030611,29.6243,1.935e-05,1.2
174,0.030568,29.6340,1.909e-05,1.4
175,0.030523,29.6434,1.884e-05,1.0
176,0.030481,29.6530,1.859e-05,1.0
177,0.030440,29.6623,1.834e-05,1.0
178,0.030403,29.6718,1.810e-05,1.0
179,0.030363,29.6807,1.785e-05,1.1
180,0.030327,29.6892,1.760e-05,1.4
181,0.030291,29.6974,1.736e-05,1.0
182,0.030256,29.7055,1.711e-05,1.0
183,0.030223,29.7137,1.687e-05,1.0
184,0.030193,29.7217,1.662e-05,1.0
185,0.030157,29.7300,1.638e-05,1.0
186,0.030127,29.7381,1.614e-05,1.0
187,0.030095,29.7460,1.590e-05,1.3
188,0.030066,29.7536,1.566e-05,1.3
189,0.030040,29.7610,1.542e-05,1.0
190,0.030010,29.7680,1.518e-05,1.0
